g:id,g:title,g:description,g:link,g:image_link,g:availability,g:price,g:sale_price,g:google_product_category,g:product_type,g:brand,g:condition,g:color,g:gtin,g:currency,g:size,g:age_group,g:gender,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4
SX7622_013_S_CNF,U nk elite crew 132,"Nike elite crew' korvpallisokid toetavad tänu võlviribale jalga ja pehmendused strateegilistes kohtades summutavad põrutust, kui sa üle väljaku jooksed. dri-fit-i tehnoloogia aitab sul püsida kuiv ja tunda end mugavalt. Vaata lähemalt ballzy.eu.",http://ballzy.eu/fi/product/u-nk-elite-crew-132-sx7622-013-s-cnf,https://o.cropink.com/i/p-i/de2c9519-007f-48ae-be6a-9e85d475e75b?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,in stock,14.00 EUR,10.50 EUR,Men's Socks,Men's Socks,Nike,new,Black,191885403267,EUR,Vaata lähemalt ballzy.eu,adult,male  ,Basketball,in stock,Yes,Nike,Male|Female|Children
SX7622_100_S_CNF,U nk elite crew 132,"Nike elite crew' korvpallisokid toetavad tänu võlviribale jalga ja pehmendused strateegilistes kohtades summutavad põrutust, kui sa üle väljaku jooksed. dri-fit-i tehnoloogia aitab sul püsida kuiv ja tunda end mugavalt. Vaata lähemalt ballzy.eu.",http://ballzy.eu/fi/product/u-nk-elite-crew-132-sx7622-100-s-cnf,https://o.cropink.com/i/p-i/ddb3d734-4d42-4595-bec7-1bcebc0bf409?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,in stock,17.00 EUR,12.75 EUR,Women's Socks,Women's Socks,Nike,new,White,191885403342,EUR,Vaata lähemalt ballzy.eu,adult,male  ,Lifestyle,in stock,Yes,Nike,Male|Female
SX7627_010_S_CNF,U nk elite crew 3pr,Spordiriided ballzy veebipoest. Vaata lähemalt ballzy.eu.,http://ballzy.eu/fi/product/u-nk-elite-crew-3pr-sx7627-010-s-cnf,https://o.cropink.com/i/p-i/fe33043e-f845-4793-bfa7-25f98689b37a?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,in stock,17.00 EUR,9.00 EUR,Kids' Socks,Kids' Socks,Nike,new,Black,884499028833,EUR,Vaata lähemalt ballzy.eu,adult,male  ,Basketball,in stock,Yes,Nike,Male|Female|Children
CQ2809_9_CNF,Gazelle,"A fan and streetwear favourite for a half century, this ´60s-era football trainer is not done yet. these shoes are a direct reissue of the 1991 upgraded gazelle, with authentic textures, materials and proportions. the upper is made of nubuck and features tonal trim and silver-coloured lettering. Vaata lähemalt ballzy.eu.",http://ballzy.eu/fi/product/gazelle-cq2809-9-cnf,https://o.cropink.com/i/p-i/8bbcc8ae-9e59-4d1f-b6d5-41b7703a3bb2?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,in stock,109.00 EUR,81.75 EUR,Women's Street Shoes,Women's Street Shoes,adidas Originals,new,Black,4059322693618,EUR,Vaata lähemalt ballzy.eu,adult,male  ,Lifestyle,in stock,Yes,adidas Originals,Male|Female
SX5544_100_S_CNF,U j everyday max ankl 3pr,Spordiriided ballzy veebipoest. Vaata lähemalt ballzy.eu.,http://ballzy.eu/fi/product/u-j-everyday-max-ankl-3pr-sx5544-100-s-cnf,https://o.cropink.com/i/p-i/7a8de3b3-3bde-492e-aaa2-27351be75594?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,in stock,19.00 EUR,14.25 EUR,Kids' Socks,Kids' Socks,Nike,new,White,666003481323,EUR,Vaata lähemalt ballzy.eu,adult,male  ,Lifestyle,in stock,Yes,Nike,Male|Female|Children
6446B_BLK_S_CNF,Mcd extended leg sleeves,Leg sleeve featuring 9mm hex™ technology is a favorite among pro and collegiate players Vaata lähemalt ballzy.eu.,http://ballzy.eu/fi/product/mcd-extended-leg-sleeves-6446b-blk-s-cnf,https://o.cropink.com/i/p-i/579e5546-c889-45ca-aff8-c08b507615e6?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,in stock,49.00 EUR,29.00 EUR,Kids' Accessories,Kids' Accessories,Mcdavid,new,Black,,EUR,Vaata lähemalt ballzy.eu,adult,male  ,Basketball,in stock,Yes,Mcdavid,Male|Female|Children
6446W_WHI_S_CNF,Mcd extended leg sleeves,Leg sleeve featuring 9mm hex™ technology is a favorite among pro and collegiate players Vaata lähemalt ballzy.eu.,http://ballzy.eu/fi/product/mcd-extended-leg-sleeves-6446w-whi-s-cnf,https://o.cropink.com/i/p-i/1c1991f3-9a86-4bcb-b4d0-37f4173447a3?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,in stock,49.00 EUR,19.00 EUR,Kids' Accessories,Kids' Accessories,Mcdavid,new,White,,EUR,Vaata lähemalt ballzy.eu,adult,male  ,Basketball,in stock,Yes,Mcdavid,Male|Female|Children
6500B_BLK_S_CNF,Mcd hex shooter arm sleeve,Arm compression maintains muscle warmth and prevents abrasions and scratches Vaata lähemalt ballzy.eu.,http://ballzy.eu/fi/product/mcd-hex-shooter-arm-sleeve-6500b-blk-s-cnf,https://o.cropink.com/i/p-i/7f84cd18-e1e5-40bc-8d8a-927323e99509?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,in stock,24.00 EUR,14.00 EUR,Kids' Accessories,Kids' Accessories,Mcdavid,new,Black,029369035294,EUR,Vaata lähemalt ballzy.eu,adult,male  ,Basketball,in stock,Yes,Mcdavid,Male|Female|Children
6500S_BLU_S_CNF,Mcd hex shooter arm sleeve,Arm compression maintains muscle warmth and prevents abrasions and scratches Vaata lähemalt ballzy.eu.,http://ballzy.eu/fi/product/mcd-hex-shooter-arm-sleeve-6500s-blu-s-cnf,https://o.cropink.com/i/p-i/7f488bf0-796e-4956-9ed8-cc60831fdf6f?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,in stock,24.00 EUR,14.00 EUR,Kids' Accessories,Kids' Accessories,Mcdavid,new,Blue,,EUR,Vaata lähemalt ballzy.eu,adult,male  ,Basketball,in stock,Yes,Mcdavid,Male|Female|Children
300207401_S_CNF,Spalding parka,Spordiriided ballzy veebipoest. Vaata lähemalt ballzy.eu.,http://ballzy.eu/fi/product/spalding-parka-300207401-s-cnf,https://o.cropink.com/i/p-i/b2cd7cc6-a473-4cbf-b646-bad49bed1999?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,in stock,140.00 EUR,105.00 EUR,Men's Jackets,Men's Jackets,Spalding,new,Black,,EUR,Vaata lähemalt ballzy.eu,adult,male  ,Basketball,in stock,Yes,Spalding,Male
