g:id,g:title,g:description,g:link,g:image_link,g:availability,g:price,g:google_product_category,g:product_type,g:brand,g:condition,g:color,g:gtin,g:currency,g:size,g:age_group,g:gender,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,g:sale_price
SX7622_013_S_CNF,U nk elite crew 132,"Nike elite crew' korvpallisokid toetavad tänu võlviribale jalga ja pehmendused strateegilistes kohtades summutavad põrutust, kui sa üle väljaku jooksed. dri-fit-i tehnoloogia aitab sul püsida kuiv ja tunda end mugavalt. Vaata lähemalt ballzy.eu.",http://ballzy.eu/lv/product/u-nk-elite-crew-132-sx7622-013-s-cnf,https://o.cropink.com/i/p-i/93052618-f38f-4b8f-a073-0745fcb4d033?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,in stock,14.00 EUR,Men's Socks,Men's Socks,Nike,new,Black,191885403267,EUR,Vaata lähemalt ballzy.eu,adult,male  ,Basketball,in stock,No,Nike,Male|Female|Children,
SX7622_100_S_CNF,U nk elite crew 132,"Nike elite crew' korvpallisokid toetavad tänu võlviribale jalga ja pehmendused strateegilistes kohtades summutavad põrutust, kui sa üle väljaku jooksed. dri-fit-i tehnoloogia aitab sul püsida kuiv ja tunda end mugavalt. Vaata lähemalt ballzy.eu.",http://ballzy.eu/lv/product/u-nk-elite-crew-132-sx7622-100-s-cnf,https://o.cropink.com/i/p-i/4b3ae10d-94a4-49de-9a5d-630e8ae6304f?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,in stock,17.00 EUR,Women's Socks,Women's Socks,Nike,new,White,191885403342,EUR,Vaata lähemalt ballzy.eu,adult,male  ,Lifestyle,in stock,No,Nike,Male|Female,
CQ2809_9_CNF,Gazelle,"A fan and streetwear favourite for a half century, this ´60s-era football trainer is not done yet. these shoes are a direct reissue of the 1991 upgraded gazelle, with authentic textures, materials and proportions. the upper is made of nubuck and features tonal trim and silver-coloured lettering. Vaata lähemalt ballzy.eu.",http://ballzy.eu/lv/product/gazelle-cq2809-9-cnf,https://o.cropink.com/i/p-i/2e866dc8-57f4-4110-800e-258bb3534447?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,in stock,109.00 EUR,Women's Street Shoes,Women's Street Shoes,adidas Originals,new,Black,4059322693618,EUR,Vaata lähemalt ballzy.eu,adult,male  ,Lifestyle,in stock,No,adidas Originals,Male|Female,
SX5544_100_S_CNF,U j everyday max ankl 3pr,Spordiriided ballzy veebipoest. Vaata lähemalt ballzy.eu.,http://ballzy.eu/lv/product/u-j-everyday-max-ankl-3pr-sx5544-100-s-cnf,https://o.cropink.com/i/p-i/235bfd08-e846-4804-b912-f86630496a78?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,in stock,19.00 EUR,Kids' Socks,Kids' Socks,Nike,new,White,666003481323,EUR,Vaata lähemalt ballzy.eu,adult,male  ,Lifestyle,in stock,No,Nike,Male|Female|Children,
6446B_BLK_S_CNF,Mcd extended leg sleeves,Leg sleeve featuring 9mm hex™ technology is a favorite among pro and collegiate players Vaata lähemalt ballzy.eu.,http://ballzy.eu/lv/product/mcd-extended-leg-sleeves-6446b-blk-s-cnf,https://o.cropink.com/i/p-i/579e5546-c889-45ca-aff8-c08b507615e6?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,in stock,49.00 EUR,Kids' Accessories,Kids' Accessories,Mcdavid,new,Black,,EUR,Vaata lähemalt ballzy.eu,adult,male  ,Basketball,in stock,Yes,Mcdavid,Male|Female|Children,29.00 EUR
6446W_WHI_S_CNF,Mcd extended leg sleeves,Leg sleeve featuring 9mm hex™ technology is a favorite among pro and collegiate players Vaata lähemalt ballzy.eu.,http://ballzy.eu/lv/product/mcd-extended-leg-sleeves-6446w-whi-s-cnf,https://o.cropink.com/i/p-i/1c1991f3-9a86-4bcb-b4d0-37f4173447a3?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,in stock,49.00 EUR,Kids' Accessories,Kids' Accessories,Mcdavid,new,White,,EUR,Vaata lähemalt ballzy.eu,adult,male  ,Basketball,in stock,Yes,Mcdavid,Male|Female|Children,19.00 EUR
6500B_BLK_S_CNF,Mcd hex shooter arm sleeve,Arm compression maintains muscle warmth and prevents abrasions and scratches Vaata lähemalt ballzy.eu.,http://ballzy.eu/lv/product/mcd-hex-shooter-arm-sleeve-6500b-blk-s-cnf,https://o.cropink.com/i/p-i/7f84cd18-e1e5-40bc-8d8a-927323e99509?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,in stock,24.00 EUR,Kids' Accessories,Kids' Accessories,Mcdavid,new,Black,029369035294,EUR,Vaata lähemalt ballzy.eu,adult,male  ,Basketball,in stock,Yes,Mcdavid,Male|Female|Children,14.00 EUR
6500S_BLU_S_CNF,Mcd hex shooter arm sleeve,Arm compression maintains muscle warmth and prevents abrasions and scratches Vaata lähemalt ballzy.eu.,http://ballzy.eu/lv/product/mcd-hex-shooter-arm-sleeve-6500s-blu-s-cnf,https://o.cropink.com/i/p-i/7f488bf0-796e-4956-9ed8-cc60831fdf6f?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,in stock,24.00 EUR,Kids' Accessories,Kids' Accessories,Mcdavid,new,Blue,,EUR,Vaata lähemalt ballzy.eu,adult,male  ,Basketball,in stock,Yes,Mcdavid,Male|Female|Children,14.00 EUR
300207401_S_CNF,Spalding parka,Spordiriided ballzy veebipoest. Vaata lähemalt ballzy.eu.,http://ballzy.eu/lv/product/spalding-parka-300207401-s-cnf,https://o.cropink.com/i/p-i/454dcf8a-c957-42ab-9b58-41fd67f07977?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,in stock,140.00 EUR,Men's Jackets,Men's Jackets,Spalding,new,Black,,EUR,Vaata lähemalt ballzy.eu,adult,male  ,Basketball,in stock,No,Spalding,Male,
SX5546_011_S_CNF,Jumpman no-show 3ppk,"Unisex jordan jumpman no-show socks (3 pair)unisex jordan jumpman no-show socks (3 pairs) are made with sweat-wicking fabric, mesh panels and arch compression for breathability and a snug, comfortable fit. the heel and toe are reinforced for durability and impact protection.dri-fit technology helps you stay dry and comfortable.mesh panels offer breathability.arch compression provides a snug, comfortable fit.heel and toe are reinforced for durability.righ Vaata lähemalt ballzy.eu.",http://ballzy.eu/lv/product/jumpman-no-show-3ppk-sx5546-011-s-cnf,https://o.cropink.com/i/p-i/3d75bf9c-0b94-4eff-b317-2c374fbf98ae?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,in stock,17.00 EUR,Kids' Socks,Kids' Socks,Jordan,new,Multicolored,659658602182,EUR,Vaata lähemalt ballzy.eu,adult,male  ,Lifestyle,in stock,Yes,Jordan,Male|Female|Children,10.00 EUR
