item_id,title,description,url,brand,seller_name,image_url,availability,price,sale_price,is_ads_eligible,ads_metadata
SX7622_013_S_CNF,U nk elite crew 132,"Nike elite crew' korvpallisokid toetavad tänu võlviribale jalga ja pehmendused strateegilistes kohtades summutavad põrutust, kui sa üle väljaku jooksed. dri-fit-i tehnoloogia aitab sul püsida kuiv ja tunda end mugavalt. Vaata lähemalt ballzy.eu.",https://ballzy.eu/et/product/u-nk-elite-crew-132-sx7622-013-s-cnf,Nike,Ballzy,https://o.cropink.com/i/p-i/93052618-f38f-4b8f-a073-0745fcb4d033?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,in_stock,14.00 EUR,,true,"{""business_line"":""basketball"",""brand"":""Nike"",""color"":""Black"",""product_type"":""Men's Socks"",""google_product_category"":""Men's Socks"",""custom_label_0"":""Basketball"",""custom_label_1"":""in stock"",""custom_label_2"":""No"",""custom_label_3"":""Nike"",""custom_label_4"":""Male|Female|Children""}"
6446B_BLK_S_CNF,Mcd extended leg sleeves,Leg sleeve featuring 9mm hex™ technology is a favorite among pro and collegiate players Vaata lähemalt ballzy.eu.,https://ballzy.eu/et/product/mcd-extended-leg-sleeves-6446b-blk-s-cnf,Mcdavid,Ballzy,https://o.cropink.com/i/p-i/579e5546-c889-45ca-aff8-c08b507615e6?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,in_stock,49.00 EUR,29.00 EUR,true,"{""business_line"":""basketball"",""brand"":""Mcdavid"",""color"":""Black"",""product_type"":""Kids' Accessories"",""google_product_category"":""Kids' Accessories"",""custom_label_0"":""Basketball"",""custom_label_1"":""in stock"",""custom_label_2"":""Yes"",""custom_label_3"":""Mcdavid"",""custom_label_4"":""Male|Female|Children""}"
6500S_BLU_S_CNF,Mcd hex shooter arm sleeve,Arm compression maintains muscle warmth and prevents abrasions and scratches Vaata lähemalt ballzy.eu.,https://ballzy.eu/et/product/mcd-hex-shooter-arm-sleeve-6500s-blu-s-cnf,Mcdavid,Ballzy,https://o.cropink.com/i/p-i/7f488bf0-796e-4956-9ed8-cc60831fdf6f?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,in_stock,24.00 EUR,14.00 EUR,true,"{""business_line"":""basketball"",""brand"":""Mcdavid"",""color"":""Blue"",""product_type"":""Kids' Accessories"",""google_product_category"":""Kids' Accessories"",""custom_label_0"":""Basketball"",""custom_label_1"":""in stock"",""custom_label_2"":""Yes"",""custom_label_3"":""Mcdavid"",""custom_label_4"":""Male|Female|Children""}"
6500W_WHI_S_CNF,Mcd hex shooter arm sleeve,Arm compression maintains muscle warmth and prevents abrasions and scratches Vaata lähemalt ballzy.eu.,https://ballzy.eu/et/product/mcd-hex-shooter-arm-sleeve-6500w-whi-s-cnf,Mcdavid,Ballzy,https://o.cropink.com/i/p-i/f5a9c6a0-69c1-4ab5-b6cd-c2a9ef8c3dfa?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,in_stock,24.00 EUR,14.00 EUR,true,"{""business_line"":""basketball"",""brand"":""Mcdavid"",""color"":""White"",""product_type"":""Kids' Accessories"",""google_product_category"":""Kids' Accessories"",""custom_label_0"":""Basketball"",""custom_label_1"":""in stock"",""custom_label_2"":""Yes"",""custom_label_3"":""Mcdavid"",""custom_label_4"":""Male|Female|Children""}"
SX7667_100_S_CNF,U nk everyday cush ankle 3pr,"mugavus ja toestus./>läbi oma treeningud nike everyday cushioned socks sokkidega. paks terry tallaosa annab sulle lisamugavust jalgade harjutuste ja tõstete jaoks, samal ajal kui võlvi ümber on liibuv ja toetav riba ekstrateotuse jaoks.dri-fit tehnoloogia aitab hoida su jalad kuivana ja mugavana.paks terry tallaosa pakub mugavust ja põrutuse neeldumist.võlvi ümber olev riba annab toetava tunde.1/4-pikkusega lõige katab su pahkluu. Vaata lähemalt ballzy.eu.",https://ballzy.eu/et/product/u-nk-everyday-cush-ankle-3pr-sx7667-100-s-cnf,Nike,Ballzy,https://o.cropink.com/i/p-i/b814ad6c-f5aa-4849-a40e-b7066befb0d7?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,in_stock,19.00 EUR,,true,"{""business_line"":""basketball"",""brand"":""Nike"",""color"":""White"",""product_type"":""Men's Socks"",""google_product_category"":""Men's Socks"",""custom_label_0"":""Basketball"",""custom_label_1"":""in stock"",""custom_label_2"":""No"",""custom_label_3"":""Nike"",""custom_label_4"":""Male|Female|Children""}"
SK0110_101_S_CNF,U nk nsw evry essential ankle,Spordiriided ballzy veebipoest. Vaata lähemalt ballzy.eu.,https://ballzy.eu/et/product/u-nk-nsw-evry-essential-ankle-sk0110-101-s-cnf,Nike,Ballzy,https://o.cropink.com/i/p-i/5f45692b-cea4-4b48-9145-d54bdc41d87c?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,in_stock,17.00 EUR,12.00 EUR,true,"{""business_line"":""basketball"",""brand"":""Nike"",""color"":""White"",""product_type"":""Men's Socks"",""google_product_category"":""Men's Socks"",""custom_label_0"":""Basketball"",""custom_label_1"":""in stock"",""custom_label_2"":""Yes"",""custom_label_3"":""Nike"",""custom_label_4"":""Male|Female|Children""}"
AT3383_010_S_CNF,M np dry tght 3qt bball,Spordiriided ballzy veebipoest. Vaata lähemalt ballzy.eu.,https://ballzy.eu/et/product/m-np-dry-tght-3qt-bball-at3383-010-s-cnf,Nike,Ballzy,https://o.cropink.com/i/p-i/1b0741c0-53c4-4906-8595-8c2498f98498?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,in_stock,44.00 EUR,29.00 EUR,true,"{""business_line"":""basketball"",""brand"":""Nike"",""color"":""Black"",""product_type"":""Men's Leggings"",""google_product_category"":""Men's Leggings"",""custom_label_0"":""Basketball"",""custom_label_1"":""in stock"",""custom_label_2"":""Yes"",""custom_label_3"":""Nike"",""custom_label_4"":""Male""}"
SX7666_100_M_CNF,U nk everyday cush crew 6 pairs,"mugavus ja tugevus&hellip; nike everyday cushioned sokid annavad jõudu treeningule. paks froteepõhi annab sulle lisamugavust jalaharjutuste ja tõstete tegemiseks, samas kui ribiline kaareriba ümbritseb sinu keskjalga, et tagada toetav tunne&hellip; toote omadused: dri-fit tehnoloogia aitab hoida jalad kuivana ja mugavalt&hellip; paks froteepõhi pakub mugavust ja löögiabi&hellip; ribitud kaareriba pakub toetavat tunnet&hellip; crew-siluett katab pahkluu ja alajäseme&hellip; tooteo Vaata lähemalt ballzy.eu.",https://ballzy.eu/et/product/u-nk-everyday-cush-crew-6-pairs-sx7666-100-m-cnf,Nike,Ballzy,https://o.cropink.com/i/p-i/3fed5c2c-5753-49bf-b9c3-21f9eb6064a2?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,in_stock,29.00 EUR,,true,"{""business_line"":""basketball"",""brand"":""Nike"",""color"":""White"",""product_type"":""Men's Socks"",""google_product_category"":""Men's Socks"",""custom_label_0"":""Basketball"",""custom_label_1"":""in stock"",""custom_label_2"":""No"",""custom_label_3"":""Nike"",""custom_label_4"":""Male|Female|Children""}"
83-450Z_CNF,2016 olyp rbr latvija,Spordiriided ballzy veebipoest. Vaata lähemalt ballzy.eu.,https://ballzy.eu/et/product/2016-olyp-rbr-latvija-83-450z-cnf,Spalding,Ballzy,https://o.cropink.com/i/p-i/43cc987e-6ce7-4c32-bb8e-08d479466d8c?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,in_stock,24.00 EUR,,true,"{""business_line"":""basketball"",""brand"":""Spalding"",""color"":""5980"",""product_type"":""Kids' Basketballs"",""google_product_category"":""Kids' Basketballs"",""custom_label_0"":""Basketball"",""custom_label_1"":""in stock"",""custom_label_2"":""No"",""custom_label_3"":""Spalding"",""custom_label_4"":""Male|Children""}"
83-460Z_CNF,Estonia size 5,Spordiriided ballzy veebipoest. Vaata lähemalt ballzy.eu.,https://ballzy.eu/et/product/estonia-size-5-83-460z-cnf,Spalding,Ballzy,https://o.cropink.com/i/p-i/89a4a1ab-c680-4987-895c-0cf1464dfea4?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,in_stock,19.00 EUR,,true,"{""business_line"":""basketball"",""brand"":""Spalding"",""color"":""5980"",""product_type"":""Kids' Basketballs"",""google_product_category"":""Kids' Basketballs"",""custom_label_0"":""Basketball"",""custom_label_1"":""in stock"",""custom_label_2"":""No"",""custom_label_3"":""Spalding"",""custom_label_4"":""Male|Female|Children""}"
