item_id,title,description,url,image_url,brand,price,availability,seller_name,target_countries,is_eligible_search,is_eligible_checkout,is_ads_eligible
SX7622_100_S_CNF,U nk elite crew 132,"Nike elite crew' korvpallisokid toetavad tänu võlviribale jalga ja pehmendused strateegilistes kohtades summutavad põrutust, kui sa üle väljaku jooksed. dri-fit-i tehnoloogia aitab sul püsida kuiv ja tunda end mugavalt. Vaata lähemalt ballzy.eu.",https://ballzy.eu/et/product/u-nk-elite-crew-132-sx7622-100-s-cnf,https://backend.ballzy.eu/media/catalog/product/n/i/nike-u-nk-elite-crew-132-valge-89e1.jpg,Nike,17.00 EUR,in_stock,Streetbrand OÜ,EE,true,false,true
CQ2809_9_CNF,Gazelle,"A fan and streetwear favourite for a half century, this ´60s-era football trainer is not done yet. these shoes are a direct reissue of the 1991 upgraded gazelle, with authentic textures, materials and proportions. the upper is made of nubuck and features tonal trim and silver-coloured lettering. Vaata lähemalt ballzy.eu.",https://ballzy.eu/et/product/gazelle-cq2809-9-cnf,https://backend.ballzy.eu/media/catalog/product/a/d/adidas-gazelle-must-jglh.jpg,adidas Originals,109.00 EUR,in_stock,Streetbrand OÜ,EE,true,false,true
SX5544_100_S_CNF,U j everyday max ankl 3pr,Spordiriided ballzy veebipoest. Vaata lähemalt ballzy.eu.,https://ballzy.eu/et/product/u-j-everyday-max-ankl-3pr-sx5544-100-s-cnf,https://backend.ballzy.eu/media/catalog/product/4/m/4me1hlslkk9hpbqh.jpg,Nike,19.00 EUR,in_stock,Streetbrand OÜ,EE,true,false,true
SX5546_011_S_CNF,Jumpman no-show 3ppk,"Unisex jordan jumpman no-show socks (3 pair)unisex jordan jumpman no-show socks (3 pairs) are made with sweat-wicking fabric, mesh panels and arch compression for breathability and a snug, comfortable fit. the heel and toe are reinforced for durability and impact protection.dri-fit technology helps you stay dry and comfortable.mesh panels offer breathability.arch compression provides a snug, comfortable fit.heel and toe are reinforced for durability.righ Vaata lähemalt ballzy.eu.",https://ballzy.eu/et/product/jumpman-no-show-3ppk-sx5546-011-s-cnf,https://backend.ballzy.eu/media/catalog/product/o/p/op6o3foxzuxz1slbd4e4.jpg,Jordan,17.00 EUR,in_stock,Streetbrand OÜ,EE,true,false,true
SX5546_100_S_CNF,U j everyday max ns 3pr,"Unisex jordan jumpman no-show socks (3 pair)unisex jordan jumpman no-show socks (3 pairs) are made with sweat-wicking fabric, mesh panels and arch compression for breathability and a snug, comfortable fit. the heel and toe are reinforced for durability and impact protection.dri-fit technology helps you stay dry and comfortable.mesh panels offer breathability.arch compression provides a snug, comfortable fit.heel and toe are reinforced for durability.righ Vaata lähemalt ballzy.eu.",https://ballzy.eu/et/product/u-j-everyday-max-ns-3pr-sx5546-100-s-cnf,https://backend.ballzy.eu/media/catalog/product/j/o/jordan-u-j-everyday-max-ns-3pr-valge-cyby.jpg,Jordan,19.00 EUR,in_stock,Streetbrand OÜ,EE,true,false,true
B75806_8_CNF,Samba og,samba on sündinud väljakul ja on tänavastiili ajatu ikoon. need jalatsid jäävad oma pärandile truuks pehme nahast pealse ja mokkade kattekihiga. Vaata lähemalt ballzy.eu.,https://ballzy.eu/et/product/samba-og-b75806-8-cnf,https://backend.ballzy.eu/media/catalog/product/a/d/adidas-samba-og-valge-3plk.jpg,adidas Originals,129.00 EUR,in_stock,Streetbrand OÜ,EE,true,false,true
B75807_8_CNF,Samba og,samba on sündinud väljakul ja on tänavastiili ajatu ikoon. need jalatsid jäävad oma pärandile truuks pehme nahast pealse ja mokkade kattekihiga. Vaata lähemalt ballzy.eu.,https://ballzy.eu/et/product/samba-og-b75807-8-cnf,https://backend.ballzy.eu/media/catalog/product/a/d/adidas-samba-og-must-xptx.jpg,adidas Originals,129.00 EUR,in_stock,Streetbrand OÜ,EE,true,false,true
SX7664_100_S_CNF,U nk everyday cush crew 3 pairs,"nike everyday cushioned sokid annavad jõudu treeningule. higi ärajuhtiv tehnoloogia aitab sind kuivana ja jahedana hoida, samas kui paks froteepõhi annab sulle mugavust intensiivsete tõste ja lisakilomeetrite läbimiseks. sokkide paelaga kaetud kaareosa on su jala ümber mugav ja toetav. 3 paari pakend tähendab, et teil on alati varuplaan&hellip; toote omadused: nike dri-fit-tehnoloogia juhib higi nahast eemale, et see aurustuks kiiremini, aidates sul kuivana ja mugavalt püsida.'. Vaata lähemalt ballzy.eu.",https://ballzy.eu/et/product/u-nk-everyday-cush-crew-3-pairs-sx7664-100-s-cnf,https://backend.ballzy.eu/media/catalog/product/n/i/nike-u-nk-everyday-cush-crew-3-pairs-valge-0f5l.jpg,Nike,24.00 EUR,in_stock,Streetbrand OÜ,EE,true,false,true
SX5544_010_S_CNF,U j everyday max ankl 3pr,Spordiriided ballzy veebipoest. Vaata lähemalt ballzy.eu.,https://ballzy.eu/et/product/u-j-everyday-max-ankl-3pr-sx5544-010-s-cnf,https://backend.ballzy.eu/media/catalog/product/j/o/jordan-u-j-everyday-max-ankl-3pr-must-ydap.jpg,Jordan,17.00 EUR,in_stock,Streetbrand OÜ,EE,true,false,true
S20274_3942_CNF,Trefoil liner socks 3 pairs,"trefoil liner sokid annavad igapäevaelus kasutatavatele põhisokkidele originaalsust. need sokid on lõigatud nii, et neid ei oleks näha, kui neid kantakse koos tossudega, ning need on valmistatud kergelt venivast puuvillast ja nende jalapealsel on trefoil kujutis. Vaata lähemalt ballzy.eu.",https://ballzy.eu/et/product/trefoil-liner-socks-3-pairs-s20274-3942-cnf,https://backend.ballzy.eu/media/catalog/product/a/d/adidas-trefoil-liner-socks-3-pairs-must-5iti.jpg,adidas Originals,12.00 EUR,in_stock,Streetbrand OÜ,EE,true,false,true
