sku_id,title,description,availability,condition,price,link,image_link,brand,video_link,additional_image_link,age_group,color,gender,item_group_id,google_product_category,material,pattern,product_type,sale_price,sale_price_effective_date,shipping,shipping_weight,gtin,mpn,size,tax,ios_url,ios_app_store_id,ios_app_name,iPhone_url,iPhone_app_store_id,iPhone_app_name,iPad_url,iPad_app_store_id,iPad_app_name,android_url,android_package,android_app_name,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4
SX7622_013_S_CNF,U nk elite crew 132,"Nike elite crew' korvpallisokid toetavad tänu võlviribale jalga ja pehmendused strateegilistes kohtades summutavad põrutust, kui sa üle väljaku jooksed. dri-fit-i tehnoloogia aitab sul püsida kuiv ja tunda end mugavalt. Vaata lähemalt ballzy.eu.",in stock,new,14.00 EUR,https://ballzy.eu/et/product/u-nk-elite-crew-132-sx7622-013-s-cnf,https://o.cropink.com/i/p-i/de2c9519-007f-48ae-be6a-9e85d475e75b?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,Nike,,,adult,Black,male,,Men's Socks,,,Men's Socks,10.50 EUR,,,,191885403267,,Vaata lähemalt ballzy.eu,,,,,,,,,,,,,,Basketball,in stock,Yes,Nike,Male|Female|Children
SX7622_100_S_CNF,U nk elite crew 132,"Nike elite crew' korvpallisokid toetavad tänu võlviribale jalga ja pehmendused strateegilistes kohtades summutavad põrutust, kui sa üle väljaku jooksed. dri-fit-i tehnoloogia aitab sul püsida kuiv ja tunda end mugavalt. Vaata lähemalt ballzy.eu.",in stock,new,17.00 EUR,https://ballzy.eu/et/product/u-nk-elite-crew-132-sx7622-100-s-cnf,https://o.cropink.com/i/p-i/ddb3d734-4d42-4595-bec7-1bcebc0bf409?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,Nike,,,adult,White,male,,Women's Socks,,,Women's Socks,12.75 EUR,,,,191885403342,,Vaata lähemalt ballzy.eu,,,,,,,,,,,,,,Lifestyle,in stock,Yes,Nike,Male|Female
CQ2809_9_CNF,Gazelle,"A fan and streetwear favourite for a half century, this ´60s-era football trainer is not done yet. these shoes are a direct reissue of the 1991 upgraded gazelle, with authentic textures, materials and proportions. the upper is made of nubuck and features tonal trim and silver-coloured lettering. Vaata lähemalt ballzy.eu.",in stock,new,109.00 EUR,https://ballzy.eu/et/product/gazelle-cq2809-9-cnf,https://o.cropink.com/i/p-i/8bbcc8ae-9e59-4d1f-b6d5-41b7703a3bb2?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,adidas Originals,,,adult,Black,male,,Women's Street Shoes,,,Women's Street Shoes,81.75 EUR,,,,4059322693618,,Vaata lähemalt ballzy.eu,,,,,,,,,,,,,,Lifestyle,in stock,Yes,adidas Originals,Male|Female
SX5544_100_S_CNF,U j everyday max ankl 3pr,Spordiriided ballzy veebipoest. Vaata lähemalt ballzy.eu.,in stock,new,19.00 EUR,https://ballzy.eu/et/product/u-j-everyday-max-ankl-3pr-sx5544-100-s-cnf,https://o.cropink.com/i/p-i/7a8de3b3-3bde-492e-aaa2-27351be75594?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,Nike,,,adult,White,male,,Kids' Socks,,,Kids' Socks,14.25 EUR,,,,666003481323,,Vaata lähemalt ballzy.eu,,,,,,,,,,,,,,Lifestyle,in stock,Yes,Nike,Male|Female|Children
6446B_BLK_S_CNF,Mcd extended leg sleeves,Leg sleeve featuring 9mm hex™ technology is a favorite among pro and collegiate players Vaata lähemalt ballzy.eu.,in stock,new,49.00 EUR,https://ballzy.eu/et/product/mcd-extended-leg-sleeves-6446b-blk-s-cnf,https://o.cropink.com/i/p-i/579e5546-c889-45ca-aff8-c08b507615e6?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,Mcdavid,,,adult,Black,male,,Kids' Accessories,,,Kids' Accessories,29.00 EUR,,,,,,Vaata lähemalt ballzy.eu,,,,,,,,,,,,,,Basketball,in stock,Yes,Mcdavid,Male|Female|Children
6500S_BLU_S_CNF,Mcd hex shooter arm sleeve,Arm compression maintains muscle warmth and prevents abrasions and scratches Vaata lähemalt ballzy.eu.,in stock,new,24.00 EUR,https://ballzy.eu/et/product/mcd-hex-shooter-arm-sleeve-6500s-blu-s-cnf,https://o.cropink.com/i/p-i/7f488bf0-796e-4956-9ed8-cc60831fdf6f?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,Mcdavid,,,adult,Blue,male,,Kids' Accessories,,,Kids' Accessories,14.00 EUR,,,,,,Vaata lähemalt ballzy.eu,,,,,,,,,,,,,,Basketball,in stock,Yes,Mcdavid,Male|Female|Children
SX5546_011_S_CNF,Jumpman no-show 3ppk,"Unisex jordan jumpman no-show socks (3 pair)unisex jordan jumpman no-show socks (3 pairs) are made with sweat-wicking fabric, mesh panels and arch compression for breathability and a snug, comfortable fit. the heel and toe are reinforced for durability and impact protection.dri-fit technology helps you stay dry and comfortable.mesh panels offer breathability.arch compression provides a snug, comfortable fit.heel and toe are reinforced for durability.righ Vaata lähemalt ballzy.eu.",in stock,new,17.00 EUR,https://ballzy.eu/et/product/jumpman-no-show-3ppk-sx5546-011-s-cnf,https://o.cropink.com/i/p-i/3d75bf9c-0b94-4eff-b317-2c374fbf98ae?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,Jordan,,,adult,Multicolored,male,,Kids' Socks,,,Kids' Socks,10.00 EUR,,,,659658602182,,Vaata lähemalt ballzy.eu,,,,,,,,,,,,,,Lifestyle,in stock,Yes,Jordan,Male|Female|Children
SX5546_100_S_CNF,U j everyday max ns 3pr,"Unisex jordan jumpman no-show socks (3 pair)unisex jordan jumpman no-show socks (3 pairs) are made with sweat-wicking fabric, mesh panels and arch compression for breathability and a snug, comfortable fit. the heel and toe are reinforced for durability and impact protection.dri-fit technology helps you stay dry and comfortable.mesh panels offer breathability.arch compression provides a snug, comfortable fit.heel and toe are reinforced for durability.righ Vaata lähemalt ballzy.eu.",in stock,new,19.00 EUR,https://ballzy.eu/et/product/u-j-everyday-max-ns-3pr-sx5546-100-s-cnf,https://o.cropink.com/i/p-i/af3942f5-4bf8-4eb2-9dd9-5aaec36dae30?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,Jordan,,,adult,White,male,,Women's Socks,,,Women's Socks,13.00 EUR,,,,659658604292,,Vaata lähemalt ballzy.eu,,,,,,,,,,,,,,Lifestyle,in stock,Yes,Jordan,Male|Female
6500W_WHI_S_CNF,Mcd hex shooter arm sleeve,Arm compression maintains muscle warmth and prevents abrasions and scratches Vaata lähemalt ballzy.eu.,in stock,new,24.00 EUR,https://ballzy.eu/et/product/mcd-hex-shooter-arm-sleeve-6500w-whi-s-cnf,https://o.cropink.com/i/p-i/f5a9c6a0-69c1-4ab5-b6cd-c2a9ef8c3dfa?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,Mcdavid,,,adult,White,male,,Kids' Accessories,,,Kids' Accessories,14.00 EUR,,,,029369037281,,Vaata lähemalt ballzy.eu,,,,,,,,,,,,,,Basketball,in stock,Yes,Mcdavid,Male|Female|Children
B75806_8_CNF,Samba og,<html><body><p> samba on sündinud väljakul ja on tänavastiili ajatu ikoon. need jalatsid jäävad oma pärandile truuks pehme nahast pealse ja mokkade kattekihiga. </p></body></html> Vaata lähemalt ballzy.eu.,in stock,new,129.00 EUR,https://ballzy.eu/et/product/samba-og-b75806-8-cnf,https://o.cropink.com/i/p-i/f572811a-fdf4-4a29-9d25-27e83cc891ca?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,adidas Originals,,,adult,White,male,,Women's Street Shoes,,,Women's Street Shoes,88.00 EUR,,,,4059809047187,,Vaata lähemalt ballzy.eu,,,,,,,,,,,,,,Lifestyle,in stock,Yes,adidas Originals,Male|Female
B75807_8_CNF,Samba og,<html><body><p> samba on sündinud väljakul ja on tänavastiili ajatu ikoon. need jalatsid jäävad oma pärandile truuks pehme nahast pealse ja mokkade kattekihiga. </p></body></html> Vaata lähemalt ballzy.eu.,in stock,new,129.00 EUR,https://ballzy.eu/et/product/samba-og-b75807-8-cnf,https://o.cropink.com/i/p-i/25e0f82d-8dbb-4df9-bca6-e892e1136c44?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,adidas Originals,,,adult,Black,male,,Kids' Street Shoes,,,Kids' Street Shoes,94.00 EUR,,,,4059811988607,,Vaata lähemalt ballzy.eu,,,,,,,,,,,,,,Lifestyle,in stock,Yes,adidas Originals,Male|Female|Children
SX7667_100_S_CNF,U nk everyday cush ankle 3pr,"mugavus ja toestus./>läbi oma treeningud nike everyday cushioned socks sokkidega. paks terry tallaosa annab sulle lisamugavust jalgade harjutuste ja tõstete jaoks, samal ajal kui võlvi ümber on liibuv ja toetav riba ekstrateotuse jaoks.dri-fit tehnoloogia aitab hoida su jalad kuivana ja mugavana.paks terry tallaosa pakub mugavust ja põrutuse neeldumist.võlvi ümber olev riba annab toetava tunde.1/4-pikkusega lõige katab su pahkluu. Vaata lähemalt ballzy.eu.",in stock,new,19.00 EUR,https://ballzy.eu/et/product/u-nk-everyday-cush-ankle-3pr-sx7667-100-s-cnf,https://o.cropink.com/i/p-i/41bc7a5e-9bc3-4399-930d-da10a3c849d3?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,Nike,,,adult,White,male,,Men's Socks,,,Men's Socks,14.25 EUR,,,,888407236143,,Vaata lähemalt ballzy.eu,,,,,,,,,,,,,,Basketball,in stock,Yes,Nike,Male|Female|Children
SK0110_101_S_CNF,U nk nsw evry essential ankle,Spordiriided ballzy veebipoest. Vaata lähemalt ballzy.eu.,in stock,new,17.00 EUR,https://ballzy.eu/et/product/u-nk-nsw-evry-essential-ankle-sk0110-101-s-cnf,https://o.cropink.com/i/p-i/5f45692b-cea4-4b48-9145-d54bdc41d87c?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,Nike,,,adult,White,male,,Men's Socks,,,Men's Socks,12.00 EUR,,,,193145890633,,Vaata lähemalt ballzy.eu,,,,,,,,,,,,,,Basketball,in stock,Yes,Nike,Male|Female|Children
AT3383_010_S_CNF,M np dry tght 3qt bball,Spordiriided ballzy veebipoest. Vaata lähemalt ballzy.eu.,in stock,new,44.00 EUR,https://ballzy.eu/et/product/m-np-dry-tght-3qt-bball-at3383-010-s-cnf,https://o.cropink.com/i/p-i/1b0741c0-53c4-4906-8595-8c2498f98498?cropink-po=66493d5b-c2aa-4c3d-b29f-429f46ee3661,Nike,,,adult,Black,male,,Men's Leggings,,,Men's Leggings,29.00 EUR,,,,193145157941,,Vaata lähemalt ballzy.eu,,,,,,,,,,,,,,Basketball,in stock,Yes,Nike,Male
